Time,TotalMargin,TotalMarginUtil
10:53:00,2792351.6685892614,50.77003033798657
10:54:01,2789863.2393921837,50.72478617076698
10:55:01,2797212.3935896447,50.85840715617535
10:56:01,2814435.66156101,51.171557482927454
10:57:02,2810596.0648410805,51.101746633474185
10:58:01,2844788.033368534,51.7234187885188
10:59:02,2871610.57880089,52.211101432743455
11:00:03,2877845.664275701,52.32446662319457
11:01:03,2891624.1444789995,52.574984445072715
11:02:03,2879821.0113522504,52.36038202458637
11:03:04,2896175.347319158,52.65773358762105
11:04:04,2876470.695801661,52.299467196393834
11:04:17,2872590.3986200006,52.22891633854546
11:06:04,2918988.305808977,53.07251465107232
11:07:05,2917296.075068641,53.04174681942983
11:08:05,2917296.075068641,53.04174681942983
11:09:06,2914598.47004624,52.99269945538618
11:10:06,2924384.3891298547,53.17062525690645
11:11:07,2925482.9280973133,53.19059869267842
11:12:09,2925482.9280973133,53.19059869267842
11:13:09,2908246.2672573407,52.87720485922437
11:14:10,2905416.0250522923,52.82574591004168
11:15:11,2906779.668802292,52.850539432768954
11:16:11,2906779.668802292,52.850539432768954
11:17:11,2907290.065900555,52.85981938001009
11:18:12,2887443.809440718,52.498978353467606
11:19:11,2889906.5738826836,52.54375588877606
11:20:12,2901887.5255934754,52.76159137442683
11:21:12,2916357.8295726576,53.024687810411955
11:22:12,2907633.8640647274,52.86607025572232
11:23:13,2935791.6546515664,53.37803008457393
11:24:13,2998730.829979528,54.52237872690051
11:25:13,3013572.4635554873,54.79222661009977
11:26:14,2997210.3960373653,54.49473447340664
11:27:14,3052154.4711644026,55.49371765753459
11:28:15,3059149.402436093,55.62089822611078
11:29:15,3061271.5580984307,55.65948287451692
11:30:15,3074688.5762376217,55.903428658865856
11:31:15,3030024.538153387,55.0913552391525
11:32:16,3034608.050776837,55.174691832306124
11:33:16,3056323.335303848,55.569515187342695
11:34:16,3014544.349526348,54.80989726411542
11:35:17,3039233.9747358523,55.258799540651864
11:36:17,3058818.8213779144,55.61488766141663
11:37:18,3118004.4671501173,56.690990311820315
11:38:18,3137432.658755841,57.04423015919711
11:39:19,3127713.6429372802,56.867520780677815
11:43:07,3145242.057066239,57.18621921938617
11:44:08,3137200.4614716987,57.040008390394526
11:45:33,3105331.0631655287,56.460564784827795
11:48:13,3042667.4654346216,55.32122664426585
12:03:58,3174909.5783221493,57.72562869676636
12:04:04,3174909.5783221493,57.72562869676636
12:04:10,3174909.5783221493,57.72562869676636
12:04:15,3169650.5196018233,57.63000944730587
12:04:21,3164148.040618773,57.52996437488678
12:04:26,3159517.587903416,57.445774325516645
12:04:32,3159517.587903416,57.445774325516645
12:04:37,3160231.058382594,57.458746516047164
12:06:50,3165595.544709299,57.55628263107817
12:07:53,3160345.1436026343,57.460820792775166
12:08:54,3154368.4466128587,57.35215357477925
12:10:53,3159658.283618773,57.44833242943223
12:11:56,3151786.9015325243,57.30521639150044
12:12:56,3171853.303379333,57.67006006144242
12:29:27,3221558.9581745765,58.573799239537756
12:30:27,3271326.6634133635,59.478666607515706
